,comment-en,comment-mg,sentiment
367,"The lightning effects are particularly good, and so does the fog.","Ny vokatry ny tselatra dia tena tsara, ary toy izany koa ny zavona.",1
368,I love the assault rifle and the magnum and it was disappointing to see no assault rifle in Halo 2. They also replaced the magnum with a crappier version that is too weak.,Tiako ny basy fanafihana sy ny magnum ary nandiso fanantenana ny tsy nahita basy fanafihana tao amin'ny Halo 2. Nosoloin'izy ireo ihany koa ny magnum tamin'ny dikan-teny crappier izay malemy loatra.,1
369,"Also, your diplomatic actions and nice foreign relations may or may not pay off, so it is difficult to figure out a winning strategy.","Ary koa, ny hetsika diplomatika sy ny fifandraisana tsara any ivelany dia mety hisy vokany na mety tsy hisy vokany, noho izany dia sarotra ny mamantatra ny paikadin'ny fandresena.",-1
370,What's the matter Barbara?,Inona no olana Barbara?,-1
371,"If you love movie sound tracks, pop remixes, or soft edged dance music, you might enjoy this CD.","Raha tianao ny horonan-tsarimihetsika, ny remix pop, na ny mozika dihy malefaka, dia mety hankafy ity CD ity ianao.",1
372,But in terms of function and ease of use it's very good.,Fa raha ny asa sy ny mora ampiasaina dia tena tsara.,1
373,A good combination of a skilled director with some interesting compositions and his actors having fun in the process (Tomei is a loopy lush in a glorified cameo and Stevens as a degenerate gambler befriended by Dillon).,Fampifangaroana tsara amin'ny tale mahay miaraka amin'ireo sangan'asa mahaliana sy ireo mpilalao ao aminy izay mifalifaly ao anatin'ilay dingana (Tomei dia manjavozavo amin'ny cameo be voninahitra ary Stevens ho toy ny mpiloka simba izay ninamana tamin'i Dillon).,1
374,and if die is game over...,ary raha tapitra ny lalao...,-1
375,"He hasn't been making a lot of films in the past few years but whenever he pops up you immediately are focused on his kinetic energy, the arched eyebrows not unlike Nicholson's (side note: I always thought it was divine intervention when they were cast in BATMAN since they had so many mirror image physical ties!)","Tsy nanao sarimihetsika be dia be izy tato anatin'ny taona vitsivitsy, fa isaky ny mipoitra izy dia mifantoka amin'ny angovo kinetika avy hatrany ianao, ny volomaso miondrika dia tsy mitovy amin'ny an'i Nicholson (fanamarihana amin'ny lafiny iray: Nihevitra foana aho fa fitsabahan'ny andriamanitra izany rehefa natsipy tao amin'ny BATMAN izy ireo satria nanana fifamatorana ara-batana maro be!)",1
376,"...but ""A Night at the Opera"" just doesn't do it for me.","... fa ny ""A Night at the Opera"" dia tsy manao izany amiko.",-1
377,"Good print quality, speed, etc. for the price.","Tsara ny kalitao fanontana, ny hafainganam-pandeha, sns amin'ny vidiny.",1
378,"When you are sitting watching an action film and the only thing you can think of is, 'Well, at least a lot of stuntmen got work', there is something wrong with the film.","Rehefa mipetraka mijery sarimihetsika mihetsika ianao ary ny hany zavatra azonao eritreretina dia ny hoe, 'Eny, fara faharatsiny, be dia be ny mpilalao sarimihetsika nahazo asa', misy zavatra tsy mety amin'ilay sarimihetsika.",-1
379,I also haven't encountered any drops in the game's frame rate.,Izaho koa dia mbola tsy nahita fitetezana teo amin'ny tahan'ny firafitry ny lalao.,1
380,Fox...shame on you.,Fox...mahamenatra anao.,-1
381,This ceedee is the one ceedee that is actually worth paying for.,Ity ceedee ity no iray amin'ireo ceedee izay tena mendrika aloa.,1
382,"That being said, NBA Live 10 is fan-freakin-tastic!","Raha lazaina izany, NBA Live 10 dia mpankafy-freakin-tastic!",1
383,"Comeon. I think Dieselboy also should have included ""Submission"" and ""Barrier Breaks"" from the 12"" he did with Kaos. How could he you not include those 2 new, hot tracks on your album??","Eo moa. Heveriko fa i Dieselboy koa dia tokony hampiditra ""Submission"" sy ""Barrier Breaks"" avy amin'ny 12"" nataony tamin'ny Kaos. Ahoana no tsy hampidiranao ireo hira 2 vaovao mafana ireo ao amin'ny rakikiranao??",-1
384,The main characters fail to hold the players interest as well.,Ny mpilalao fototra dia tsy afaka mitazona ny fahalianan'ny mpilalao ihany koa.,-1
385,His latest is no exception.,Tsy maningana ny farany nataony.,1
386,"This is a sub-par album for any band, let alone one as stellar as King's X. As many have already mentioned, it's a modern recording of a bunch of rehashed throw-away tunes that didn't make it onto their first album, Out of the Silent Planet. They were put in the circular file then, and that's honestly where they should have stayed.","Ity dia rakikira sub-par ho an'ny tarika rehetra, mainka fa ny iray malaza amin'ny King's X. Araka ny efa noresahin'ny maro, dia fandraketam-peo maoderina amin'ny andiam-peo nohavaozina izay tsy tafiditra tao amin'ny rakikirany voalohany, Out of the Silent Planet. Nampidirina tao anatin’ny dosie circular izy ireo tamin’izay, ary teo am-pahatsorana no tokony nipetrahany.",-1
387,"It's too bad, but I think most of the people that are going to be persuaded by this book were probably almost there already.","Tena ratsy izany, saingy heveriko fa ny ankamaroan'ny olona izay ho resy lahatra amin'ity boky ity dia mety ho efa teo.",-1
388,"Perhaps this, one of his best roles to date, will change perspectives overall.","Angamba ity, iray amin'ireo anjara asany tsara indrindra hatramin'izao, dia hanova ny fomba fijery amin'ny ankapobeny.",1
389,"Babara Hambly spends much time giving overly eloquent/poetic descriptions of the surroundings, moods, and thoughts of characters but hey, Star Wars was not meant to be Shakespere.","Babara Hambly dia mandany fotoana be amin'ny famariparitana ny manodidina, ny fihetseham-po ary ny eritreritry ny olona, ​​​​fa hey, ny Star Wars dia tsy natao ho Shakespere.",-1
390,"""All flash, no substance"" Only get this game if you really, really, really love the trilogy.","""Ny tselatra rehetra, tsy misy akora"" ihany no mahazo ity lalao ity raha tena tia ny trilogy ianao.",-1
391,"In this game, they took off all that fun stuff that made the game somehow special.",Amin'ity lalao ity dia nesorin'izy ireo avokoa ireo zavatra mahafinaritra rehetra izay nahatonga ny lalao ho miavaka.,-1
392,Great remakes are few and rare.,Vitsy ary tsy fahita firy ny fanavaozana lehibe.,-1
393,The game play is incredible for two reasons.,Ny lalao dia tsy mampino noho ny antony roa.,1
394,Now let's talk about the flaws.,Andeha isika hiresaka momba ny lesoka.,-1
395,"The wraithlike incarnation of the man into batsuit avenger is a thing of Gothic beauty (echoing the Tim Burton and Frank Miller conceit) expertly designed by screenwriter David S. Goyer (the ""Blade"" trilogy to name just three successful comic book to screen adaptations) with Nolan flexes the mind, muscle and sardonic humor quintessential to a truly American original hero.","Ny fahatongavan'ilay lehilahy ho mpamaly faty ho faty dia zavatra iray amin'ny hatsaran'ny Gothic (manakoako ny fiheverana an'i Tim Burton sy Frank Miller) novolavolain'ny mpanoratra mpanoratra David S. Goyer (ilay trilogie ""Blade"" mba hanononana boky tantara an-tsary mahomby telo ho an'ny fampifanarahana amin'ny efijery) miaraka amin'i Nolan dia mampifanaraka ny saina, ny hozatra ary ny hatsikana manesoeso tena manan-danja ho an'ny tena Amerikana tany am-boalohany.",1
396,"""Disappointing"" This game ain't as good as the other 2D Sonic games This game is originally for the Sega CD then I found out this game was ported to PC. Even though I rarely play games on my PC I went to order this on EBay then I got it a days later then got around to playing it and I was dissapoint!","""Diso fanantenana"" Ity lalao ity dia tsy dia tsara toy ny lalao 2D Sonic hafa Ity lalao ity dia tany am-boalohany ho an'ny CD Sega dia hitako fa ity lalao ity dia nafindra tany amin'ny PC. Na dia zara raha milalao lalao amin'ny PC-ko aza aho dia nandeha nanafatra an'ity tao amin'ny EBay dia azoko izany andro vitsy taty aoriana dia nandeha nilalao izany ary diso fanantenana aho!",-1
397,"I'ma really huge Harvest Moon fan, but this one really disappointed me.","Tena mpankafy Harvest Moon aho, saingy nandiso fanantenana ahy ity iray ity.",-1
398,Very one dimensional.,Tena iray dimensional.,-1
399,"It is not historical fiction, it is fiction.",Tsy fiction ara-tantara io fa fiction.,-1
400,Again a treble control would have been nice though.,"Na izany aza, ny fifehezana treble indray dia mety ho tsara.",-1
401,This wouldn't be so bad if I wasn't using the damn thing every 10 seconds.,Tsy ho ratsy loatra izany raha tsy mampiasa ilay zava-dratsy aho isaky ny 10 segondra.,-1
402,"There is no clear entry to a game (except when the person says: '' Here it is, have fun!","Tsy misy fidirana mazava amin'ny lalao iray (afa-tsy rehefa miteny ilay olona hoe: '' Inty ary, mifalia!",-1
403,This is a very one dimensional book.,Ity dia boky iray dimensional.,-1
404,"Also it sits nicely on a countertop, making the set less easy to lose.","Mipetraka tsara eo amin'ny countertop ihany koa izy io, mahatonga ny kitapo ho mora very.",1
405,It is an adventurous game that provides lots of gameplay and excellent graphics Gamplay- Amazing!,Izy io dia lalao mampientam-po izay manome lalao maro sy sary mahafinaritra Gamplay- Mahagaga!,1
406,"However, it makes one yearn hard for the classic days of PF's heyday.","Na izany aza, mahatonga ny faniriana mafy ho an'ny andro mahazatra amin'ny andron'ny PF.",-1
407,they just don't seem to blend as well as I had hoped.,toa tsy mifanaraka tsara araka ny nantenaiko fotsiny izy ireo.,-1
408,But I must confess that the new album falls fairly flat for me.,Saingy tsy maintsy miaiky aho fa ny rakikira vaovao dia mitongilana ho ahy.,-1
409,Very good deviders and great to set up the way you need for your specific camera and equipment.,Mpizara tena tsara ary mahafinaritra ny manangana ny fomba ilainao ho an'ny fakantsary sy fitaovana manokana.,1
410,"And that's what this film is about, nodding to the first film since it now seems a life-time away that these brothers can do something even resembling interesting.","Ary izany no resahin'ity sarimihetsika ity, miondrika amin'ny sarimihetsika voalohany satria toa mbola lavitra ny fiainana fa afaka manao zavatra mitovy amin'ny mahaliana ireo rahalahy ireo.",-1
411,"""Just plain fun"" I don't see why this game got a lower score than the other Nintendogs.","""Mahafinaritra fotsiny"" Tsy hitako hoe nahoana ity lalao ity no nahazo isa ambany noho ny Nintendogs hafa.",1
412,I realize low-budget independent movies should be given some slack but the bargain basement bloodiness (while plentiful) is the least of this film's problems.,Tsapako fa ny sarimihetsika mahaleo tena amin'ny tetibola ambany dia tokony homena kely fa ny fandatsahan-dra (na dia betsaka aza) no kely indrindra amin'ny olana amin'ity sarimihetsika ity.,-1
413,"I endured the boring pre-heist moments, expecting a good final scene.","Niaritra ireo fotoana mankaleo talohan'ny fandrobana aho, nanantena seho farany tsara.",-1
414,"Twice. I called the tech support (paying long distance charges), and after 20 minutes of waiting, got through.","Indroa. Niantso ny fanohanana ara-teknika aho (fandoavana sara lavitra), ary afaka 20 minitra niandry.",-1
415,I bought a telephoto lens to see if that would help but it didn't.,Nividy lens telephoto aho hijerena raha mety hanampy izany fa tsy nety.,-1
416,You can customize this character in many outrageous ways.,Azonao atao ny manamboatra an'io toetra io amin'ny fomba mahasosotra maro.,1
417,Also you can buy new tricks.,Azonao atao ihany koa ny mividy tricks vaovao.,1
418,I look forward to recommending this to my students who enjoy Twilight.,Tsy andriko ny hanoro izany amin'ireo mpianatro izay mankafy ny Twilight.,1
419,With very nice execution style moves with the knife i got into it very quick.,Miaraka amin'ny fomba famonoana tena tsara dia mihetsika miaraka amin'ny antsy aho dia niditra haingana be.,1
420,This album is it for 2000!,Ity album ity dia ho an'ny 2000!,1
421,"All the songs show the feelings and oppinions of chad, shae and ofcorse the wonderfull pharell williams.","Ny hira rehetra dia mampiseho ny fihetseham-po sy ny hevitr'i Chad, Shae ary avy amin'i Pharrell William.",1
422,The camera was so often in the background I felt like I was eavesdropping on the conversations instead of in on the conversations.,Matetika ny fakan-tsary no tao ambadika ka tsapako fa toy ny nihaino ny resaka aho fa tsy tao anatin'ny resaka.,-1
423,"""Disastrous"" WOW, after months of waiting and anticipation I can only say that one word when playing one of the biggest dissapointments in gaming history.","""Loza"" WOW, taorian'ny volana niandrasana sy niandrandra izany teny izany ihany no azoko lazaina rehefa milalao ny iray amin'ireo fahadisoam-panantenana lehibe indrindra amin'ny tantaran'ny lalao.",-1
424,some units arnet up to scratch however.,ny unit sasany kosa dia tafakatra hatramin'ny farany.,-1
425,utterly disappointing.,diso fanantenana tanteraka.,-1
426,Zidane seems thrown into the game as a marketing tool to entertain the 13 year old boys who will be purchasing this game.,Zidane dia toa natsipy tao amin'ny lalao ho toy ny fitaovana ara-barotra mba hampiala voly ireo zazalahy 13 taona izay hividy ity lalao ity.,-1
427,"And if you rate it along those lines, then it would have been good, and very much talked about.","Ary raha omenao isa amin'ireo andalana ireo izany, dia ho tsara izany, ary be resaka.",1
428,"What I found funny about this, is that Ansuya and the other dancers refused to follow her and this point, and continued to dance WITH the rhythm and Kathy is left doing her own thing.","Ny hitako mahatsikaiky momba an'io, dia i Ansuya sy ireo mpandihy hafa tsy nety nanaraka azy sy tamin'ity teboka ity, ary nanohy nandihy niaraka tamin'ny gadona ary i Kathy dia tavela manao ny azy.",-1
429,This book it's a great tool for beginner or mature actors.,Ity boky ity dia fitaovana tsara ho an'ny mpilalao vao manomboka na matotra.,1
430,"My conclusion is, this is a great book and would benefit any library.","Ny fehin-kevitro dia, boky lehibe ity ary mety hahasoa ny tranomboky rehetra.",1
431,People will frequently tell me they called and got voice mail but my phone did not ring -- when I try to turn on the phone it won't turn on.,Matetika ny olona no hilaza amiko fa niantso izy ireo ary nahazo mailaka fa tsy naneno ny findaiko -- rehefa manandrana mamelona ny telefaona aho dia tsy mandeha izany.,-1
432,This makes the game even scarier.,Mampatahotra kokoa ny lalao izany.,1
433,definatley buy if you're a C&C fan,definatley mividy raha mpankafy C&C ianao,1
434,Wilco too.,Wilco koa.,1
435,"When I called them to solve this problem, it was horrible.",Rehefa niantso azy ireo aho hamaha ity olana ity dia nahatsiravina.,-1
436,I liked the first part.,Tiako ny ampahany voalohany.,1
437,"Grant does allow some refreshing touches, namely making her characters likable yet flawed and not jerks, which so easily could've been the case in many plot points (ie Garner's mother-in-law-to-be has the inklings of villainy but really deep down shows she is not the heartless wench she appears when things get a little dicey).","Grant dia mamela ny fikasihana mamelombelona, ​​izany hoe ny fanaovana ny toetrany ho tiana nefa tsy misy kilema ary tsy kisendrasendra, izay mety ho nitranga tamin'ny teboka maro (izany hoe ny rafozam-bavin'i Garner dia manana toe-tsaina ratsy fa tena lalina dia mampiseho fa tsy vehivavy tsy misy fo miseho izy rehefa misy zavatra manjavozavo).",1
438,"In this tribute to her son Hill brings the listener to tears and expresses in a few short minutes what soul music is really about--its essence; a mother of music, indeed.",Amin'ity fanomezam-boninahitra ny zanany lahy Hill ity dia mampitomany ny mpihaino ary maneho ao anatin'ny minitra vitsy ny tena momba ny mozika fanahy - ny maha-izy azy; renin'ny mozika tokoa.,1
439,One good thing about this game is it feature voices from the anime while performing a jutsu.,Ny zavatra tsara iray amin'ity lalao ity dia misy feo avy amin'ny anime mandritra ny fanaovana jutsu.,1
440,What hummable songs and easy listening.,Hira manetry tena sy mora henoina.,1
441,"A Three Stooges moment as they pursue a naked husband and wife -- one of whom has a ""perky butt"" -- who are in turn pursuing a dog gives them their sole opportunity to use the guns they have been ogling since book two.","Fotoan'ny Three Stooges rehefa manenjika mpivady miboridana izy ireo - ny iray amin'izy ireo dia ""mavomavo"" - izay manenjika alika indray dia manome azy ireo ny fahafahana hampiasa ny basy efa nojereny hatramin'ny boky faharoa.",-1
442,I found the cross hairs a little too sensitive and the amount of time between checkpoints too long.,Hitako fa somary saro-pady loatra ny volon'ny hazo fijaliana ary lava loatra ny fotoana eo anelanelan'ny toeram-pisavana.,-1
443,"But the headset is huge - it doesnt fit into my ears - none of them, and believe me - both of my ears are of generous size!","Saingy lehibe ny headset - tsy mety amin'ny sofiko - tsy misy amin'izy ireo, ary minoa ahy - ny sofiko roa dia lehibe!",-1
444,It was becoming too much for EA Sports to take with the annual humiliation from the up-start 2K Sports so they just bought the NFL rights to creating football video games.,Lasa be loatra ho an'ny EA Sports ny fanalam-baraka isan-taona avy amin'ny Fanatanjahantena 2K vao haingana ka nividy ny zon'ny NFL hamorona lalao video baolina kitra.,-1
445,As I keep it off when I'm not shooting it does take a bit longer than feels necessary to start up and auto-focus when I want shoot: maybe 3-4 secs or so.,Rehefa tsy nitifitra aho dia mila fotoana ela kokoa noho izay tsapako fa ilaina ny manomboka sy ny auto-focus rehefa te hitifitra aho: mety ho 3-4 segondra na mihoatra.,-1
446,then he goes out and does something stupid like record this song...,dia mivoaka izy dia manao hadalana toy ny firaketana an'io hira io...,-1
447,This game gets dull very fast since you'll find yourself racing one competition event over and over to earn just enough money to buy that extra engine part that you want.,Mandreraka haingana ity lalao ity satria ho hitanao ny tenanao hifaninana amin'ny hetsika fifaninanana iray hatrany mba hahazoana vola ampy hividianana ilay kojakoja maotera fanampiny tianao.,-1
448,sometimes reaching the top of the tablet to reach the top of the screen is tiring (as someone with limited mobility).,indraindray dia mandreraka ny manatratra ny tampon'ny takelaka mba hahatongavana any amin'ny tampon'ny efijery (toy ny olona voafetra ny fivezivezena).,-1
449,"If you thought PULSE was bad, OOOH just you wait!","Raha nihevitra ianao fa ratsy ny PULSE, OOOH andraso fotsiny!",-1
450,What really makes me hard pressed to call this a great movie though is the uninspired dialogue that spans across each character.,Ny tena mahasosotra ahy hiantso ity sarimihetsika ity dia ny fifanakalozan-dresaka tsy misy aingam-panahy izay mamakivaky ny toetra tsirairay.,-1
451,"""Amazing"" I have an N64 as you already know, and at first the only good game i had was Super Mario 64 and LOZ:OOT. I knew there had to be more games than that.","""Mahagaga"" Manana N64 aho araka ny efa fantatrao, ary tamin'ny voalohany dia ny Super Mario 64 sy LOZ:OOT ihany no hany lalao tsara nananako. Fantatro fa tsy maintsy misy lalao maro kokoa noho izany.",1
452,The distance between save pts is a few town away...,Ny elanelana misy eo amin'ny save pts dia tanàna vitsivitsy...,-1
453,"I tried several times listening to the album, hoping I would get it, but no, this is for me an album that lacked a creative spark, something I can't say about anything else I had heard by Neil Finn (his next studio album, live album and recent one with his brother are for example much better).","Imbetsaka aho no nanandrana nihaino ilay rakikira, nanantena fa ho azoko, saingy tsia, ity dia rakikira iray izay tsy misy tselatra famoronana, zavatra tsy azoko lazaina momba ny zavatra hafa izay henoko tamin'i Neil Finn (ny rakikira studio manaraka, rakikira mivantana ary vao haingana miaraka amin'ny rahalahiny dia tsara kokoa, ohatra).",-1
454,"To make matters worse he runs into an old colleague, Elliot Litvak (an unkempt and funny Dunne) who is downward spiraling fast after a devastating debacle in the form of his last attempt at a play that was skewered by the hated Schwimmer to the point Litvak can quote chapter and verse of the bilious critique that has him fixated to the extent of dementia.","Ny tena ratsy kokoa dia nifanena tamina mpiara-miasa taloha izy, Elliot Litvak (Dunne mampihomehy sy mampihomehy) izay midina haingana taorian'ny lozam-pifamoivoizana nandravarava tamin'ny endrika fanandramana farany nataony tamin'ny lalao iray izay nopotehin'ny Schwimmer nankahalaina ka i Litvak dia afaka mitanisa toko sy andininy momba ny fanakianana goavana izay nahatonga azy ho rava.",1
455,But in the end it all came together.,Nitambatra anefa izany tamin’ny farany.,1
456,"Add in a proven plotline with a long pedigree (Hand that rocks the cradle, Single White Female, many more), some great whacky dialog, and top it off with the inspired idea of a corporate thriller set in a cookie company with the climax in an industrial kitchen, and yeah...I'll bank that.","Ampio amin'ny tsipika efa voaporofo miaraka amin'ny pedigree lava (Tana izay manozongozona ny fandriany, Vehivavy Fotsy Tokana, maro hafa), fifanakalozan-dresaka manjavozavo, ary atsipazo miaraka amin'ny hevitra aingam-panahy momba ny orinasa mampientam-po ao amin'ny orinasa cookie miaraka amin'ny faratampony ao amin'ny lakozia indostrialy, ary eny ...",1
457,Visionary film-making at its best.,Famoronana sarimihetsika visionary amin'ny tsara indrindra.,1
458,I have to remove the battery cover and use the stylus to push the reset button.,Tsy maintsy manaisotra ny fonon'ny batterie aho ary mampiasa ny stylus hanosehana ny bokotra famerenana.,-1
459,Better than most FPS (exception; BLOOD!),Tsara kokoa noho ny ankamaroan'ny FPS (afa-tsy; RA!),1
460,"Cliche, Best Inspiration and Evolution are my favorites.","Cliche, Best Inspiration ary Evolution no ankafiziko.",1
461,The book also fails to explore the relationship between Christopher and his mother even though his bond with his father has been explained well enough.,Tsy vitan'ny boky ihany koa ny mandinika ny fifandraisan'i Christopher sy ny reniny na dia efa nohazavaina tsara aza ny fifandraisany tamin'ny rainy.,-1
462,The fact he actually shows a real-life chameleon during several sequences involving Nora is truly eye rolling.,Ny zava-misy tena nampiseho chameleon tena izy nandritra ny filaharana maromaro misy an'i Nora dia tena mampitolagaga tokoa.,-1
463,"You decide which tournament you want to play, and where you wanna do that.","Manapa-kevitra ianao hoe inona ny fifaninanana tianao hilalao, ary aiza no tianao hanaovana izany.",1
464,"Then there's Thora Birch... who I would like to nominate as this years Jar Jar Blinks... it's difficult to think this is the same person from ""American Beauty"" The character development is another big mess!","Avy eo dia misy Thora Birch ... izay tiako hatolotra amin'ity taona ity Jar Jar Blinks ... sarotra ny mieritreritra fa io ihany ilay olona avy amin'ny ""American Beauty"" Ny fivoaran'ny toetra dia korontana lehibe hafa!",-1
465,"Graphics: 8/10 These graphics are just blocks piled ontop of eachother to present a character....But, I guess in the time this came out...which was I believe '97.....these graphics still weren't top noch....Oh well...I don't judge games by graphics....Although...The cut scenes were fantastic!","Sarimihetsika: 8/10 Ireo sary ireo dia sakana mivangongo eo ambonin'ny tsirairay mba hanehoana toetra iray....Nefa, heveriko fa tamin'ny fotoana nivoahan'ity...izay inoako fa '97.....mbola tsy dia ambony loatra ireo sary ireo....Eny ary...Tsy mitsara ny lalao amin'ny sary aho.... Na dia...Nahafinaritra ny sary nalaina!",1
466,* The book could stand another 100 pages or so.,* Mety ho 100 pejy hafa eo ho eo ilay boky.,-1
467,"So, anyway, the bass line sounds like it is so chromatic, it is so inside, and it completely matches with the melody.","Noho izany, na izany na tsy izany, ny tsipika bass dia toa chromatic be, ao anatiny, ary mifanaraka tanteraka amin'ny melody.",-1
468,Hearing these tunes in REAL STEREO for the first time is a true revelation.,Fanambarana marina ny fandrenesana ireo hira ireo amin'ny REAL STEREO voalohany.,1
469,Pros: The cover actually has Cornet on it.,Tombontsoa: Ny fonony dia misy Cornet eo amboniny.,1
470,The sound is terrific.,Mahafinaritra ny feo.,1
471,"The selection of widgets available on the TV are poor, and limited.","Ny fifantenana ny widget misy amin'ny fahitalavitra dia ratsy, ary voafetra.",-1
472,"A few months after using it, it stopped RAIDing across automatically.",Volana vitsivitsy taorian'ny nampiasana azy dia nijanona ho azy ny RAIDing.,-1
473,People do look like people!,Toa olona tokoa ny olona!,1
474,"You always had the same weapons, techniques, and the minions would always act the same!",Nanana fitaovam-piadiana sy teknika mitovy foana ianao ary mitovy foana ny fihetsik'ireo miniona!,-1
475,"I also thought the fallen angel story was really neat, and I wanted more of it.","Nihevitra koa aho fa tena milamina ny tantaran'ny anjely lavo, ary tiako kokoa izany.",1
476,Raw and devilishly good with some insight of anger in males in all of cinema.,Manta sy tsara amin'ny devoly miaraka amin'ny fahatsapana fahatezerana amin'ny lehilahy amin'ny sinema rehetra.,1
477,"The crowd sound effect is almost, if not worse then the music (Apes chanting???).","Ny vokatry ny feon'ny vahoaka dia saika, raha tsy ratsy kokoa noho ny mozika (manga mihira???).",-1
478,"Having used the CDs and having read the original book, I am also left wondering how ""The Passion of Christ"" a la Mel Gibson could use the Aramaic in order to present such a traditional conservative and violent view of the life and death of Jesus without leading the viewers into a more universal expression of compassion that is so evident in the CDs. Fully recommended","Rehefa nampiasa ny CD sy namaky ny boky tany am-boalohany aho, dia lasa manontany tena ihany koa aho hoe ahoana no ahafahan'ny ""The Passion of Christ"" a la Mel Gibson mampiasa ny teny aramianina mba hanehoana fomba fijery nentim-paharazana sy mahery setra momba ny fiainana sy ny fahafatesan'i Jesosy nefa tsy nitarika ny mpijery ho amin'ny fanehoana fangoraham-po manerana izao rehetra izao izay miharihary ao amin'ny CD. Tolotra tanteraka",1
479,"I can't believe Norton and Deniro wasted their time making this film, and I can't believe I wasted my time watching it.","Tsy mino aho fa nandany ny fotoanany tamin'ny fanaovana ity sarimihetsika ity i Norton sy Deniro, ary tsy mino aho fa nandany ny fotoanako nijerena azy.",-1
480,"A first-time listener might guess this was an undiscovered gem originating from London, circa 1968. From then on, it becomes a game of ""spot-the-reference"".","Ny mpihaino sambany dia mety hihevitra fa vatosoa tsy fantatra avy any Londres, manodidina ny taona 1968. Nanomboka teo dia lasa lalao ""spot-the-reference"" izy io.",1
481,"In this case, Last Night was a pretty poor effort by Moby standards, and this remix collection is miles away from the brilliance of Play or the solidly constructed Hotel. Relatively bad songs remixed are still relatively bad songs.","Amin'ity tranga ity, ny Last Night dia ezaka tena ratsy nataon'ny fenitra Moby, ary ity fanangonana remix ity dia kilaometatra lavitra ny famirapiratan'ny Play na ny Hotely namboarina mafy orina. Ny hira somary ratsy nafangaro dia mbola hira ratsy ihany.",-1
482,It's all just so generic that in 2 weeks I probably won't remember the story anymore and sadly I won't be coming back for the upcoming sequel Demon Hunt.,Tena générique daholo izany ka afaka 2 herinandro dia mety tsy ho tadidiko intsony ilay tantara ary indrisy fa tsy hiverina intsony aho amin'ny tohiny Demon Hunt.,-1
483,There are better books.,Misy boky tsara kokoa.,-1
484,"The whole lousy mess is indecipherable until it's cribbing of the final act of ""Suspects"" for its own conclusion that not only cheats a smart, knowing audience but feels like a cheat from the minute one character is onto another with a fateful 'wait=a-second' glance and pause in his tracks.","Ny korontana ratsy rehetra dia tsy azo tsapain-tanana mandra-pialan'ny hetsika farany nataon'ny ""Suspects"" ho an'ny fanatsoahan-keviny manokana izay tsy vitan'ny hoe mamitaka mpihaino marani-tsaina sy mahafantatra fa mahatsapa ho toy ny fitaka manomboka amin'ny minitra iray amin'ny toetra iray amin'ny iray hafa miaraka amin'ny fijery 'miandry = segondra vitsy' ary miato kely amin'ny lalany.",-1
485,"I also liked the back story of how there was a holy war centuries ago between the forces of light and the denizens of hell, and how the ancestors of both sides are fighting over the souls again years later.","Tiako koa ny tantara ambadika momba ny nitrangan'ny ady masina taonjato maro lasa izay teo amin'ny herin'ny fahazavana sy ny mponina ao amin'ny helo, ary ny fomba niady tamin'ny fanahy indray ny razamben'ny andaniny sy ny ankilany taona maro taty aoriana.",1
486,"Bosses are simple, regular battles are simple, yet annoying since they take so long to load.","Tsotra ny lehibeny, ny ady mahazatra dia tsotra, nefa mahasosotra satria ela be ny entana.",-1
487,The Villian is a total rehash of FF6 and FF7. His character is pointless and arbitrary to the game as a whole.,Ny Villian dia fanavaozana tanteraka ny FF6 sy FF7. Ny toetrany dia tsy misy dikany ary tsy misy dikany amin'ny lalao amin'ny ankapobeny.,-1
488,"Edios's latest instalment to the Tomb Raider franchise is spectacular, and one of this year's best games.","Ny andiany farany an'i Edios amin'ny franchise Tomb Raider dia mahavariana, ary iray amin'ireo lalao tsara indrindra amin'ity taona ity.",1
489,"Enemies get frozen in space, stuck in doorways, etc... It's so bad it's amateurish.","Ny fahavalo mivaingana eny amin'ny habakabaka, mipetaka eo am-baravarana, sns... Ratsy be fa tsy tia.",-1
490,The fact that the viewer is dragged thru a lame and less interesting plot from the original sets this movie on a train wreck collision.,Ny zava-misy fa ny mpijery dia notaritaritina tamin'ny teti-dratsy mandringa sy tsy dia mahaliana avy amin'ny tany am-boalohany dia mametraka ity sarimihetsika ity amin'ny fifandonan'ny fiaran-dalamby.,-1
491,"This phone is reasonably priced, but the quality is terrible.","Ity finday ity dia lafo vidy, fa ny kalitao dia mahatsiravina.",-1
492,"There is no doubt that great fun can be had in this game, so you can take what the critics say with a pinch of salt...","Tsy isalasalana fa tena mahafinaritra tokoa no azo atao amin'ity lalao ity, mba hahafahanao mandray izay lazain'ny mpitsikera miaraka amin'ny sira kely...",1
493,"Even in relatively good lighting conditions, it chose horrifying exposure times like 1/6 of a second.","Na dia ao anatin'ny toe-java-mazava tsara aza, dia nisafidy fotoana mampihoron-koditra toy ny 1/6 segondra.",-1
494,"A week later, still no replacement unit.","Herinandro aty aoriana, mbola tsy misy solony.",-1
495,"You can have up to four cows and four chickens at a time, which is not much.","Afaka manana omby efatra sy akoho efatra indray mandeha ianao, izay tsy dia be loatra.",-1
496,I read the book and like it very much.,Namaky ilay boky aho ary tena tiako.,1
497,"I never felt bad once for Amir, but I loathed him even to the end.","Tsy nalahelo an'i Amir mihitsy aho, fa nankahala azy hatramin'ny farany.",-1
